date,rate_mean,rate_std,rate_max,rate_min,year_month
2017-10-01,150.71860348281038,0.5557470808599454,152.7100067138672,149.97999572753906,2017-10
2017-11-01,150.54016850789387,0.41173499702476396,151.36000061035156,149.63999938964844,2017-11
2017-12-01,150.2258049749559,0.4617253283204721,150.89999389648438,149.1199951171875,2017-12
2018-01-01,151.5816123716293,1.4893287920736924,154.07000732421875,149.66000366210938,2018-01
2018-02-01,154.51714215959822,0.6649071360018796,155.5,152.47999572753906,2018-02
2018-03-01,155.371825843729,0.6431774011778597,156.0399932861328,153.14999389648438,2018-03
2018-04-01,155.641111585829,1.3917035615105637,157.6199951171875,152.08999633789062,2018-04
2018-05-01,157.20193629111014,1.0592842346144806,158.07000732421875,154.7100067138672,2018-05
2018-06-01,158.45988871256512,1.2800036640498438,159.91000366210938,155.4199981689453,2018-06
2018-07-01,158.69623787172378,1.1995896510280344,159.8699951171875,155.47999572753906,2018-07
2018-08-01,160.00774162046372,0.7884394129859205,161.3699951171875,157.33999633789062,2018-08
2018-09-01,164.4239990234375,2.907547405873259,169.1699981689453,161.37999471028647,2018-09
2018-10-01,170.58096707251764,1.4573526350806072,172.6699981689453,166.6199951171875,2018-10
2018-11-01,175.13500162760417,3.0085842141857224,180.2700042724609,172.1199951171875,2018-11
2018-12-01,179.999999015562,1.5194195730311142,182.91000366210935,176.55999755859375,2018-12
2019-01-01,181.7090335969002,1.185729224637589,182.8500061035156,177.72000122070312,2019-01
2019-02-01,177.75250026157923,1.4897649066988619,179.77000427246094,174.72999572753906,2019-02
2019-03-01,177.75225928521925,1.5546547525800758,179.9499969482422,174.6199951171875,2019-03
2019-04-01,174.06600036621094,1.1613015921265673,175.6999969482422,171.41000366210938,2019-04
2019-05-01,175.79451505599482,1.074170127753744,177.35000610351562,172.9499969482422,2019-05
2019-06-01,176.04400126139322,1.0051559654612419,176.72999572753906,172.4499969482422,2019-06
2019-07-01,175.62935515372985,0.9083205727854197,176.39999389648438,172.75999450683594,2019-07
2019-08-01,177.44989391039778,1.4309864641461187,180.3500061035156,173.9600067138672,2019-08
2019-09-01,180.06577928331163,1.285064042784516,181.67999267578125,176.10000610351562,2019-09
2019-10-01,178.2146227436681,0.5247005026388474,179.2100067138672,177.14999389648438,2019-10
2019-11-01,177.29389512803817,0.5853151774877499,178.51907348632812,176.1208953857422,2019-11
2019-12-01,178.0518270513063,0.2389491886149031,178.58706665039062,177.39048767089844,2019-12
2020-01-01,178.2643506450038,0.2316436609060346,179.17291259765625,177.76466369628906,2020-01
2020-02-01,178.3633165030644,0.13926558179941653,178.72525024414062,178.20339965820312,2020-02
2020-03-01,181.25567823840726,2.155466311265966,185.07760620117188,178.66311645507812,2020-03
2020-04-01,188.39285990397136,1.2990353030965038,190.3436737060547,186.16058349609372,2020-04
2020-05-01,184.23816508631552,1.3537170452452005,187.29977416992188,182.41302490234372,2020-05
2020-06-01,182.7978490193685,0.5087459590757722,183.6229248046875,181.96487426757807,2020-06
2020-07-01,182.78408862698464,0.13033856756187837,183.1705017089844,182.5089263916016,2020-07
2020-08-01,182.0543926608178,1.0639131271025903,183.37461853027344,179.87025451660156,2020-08
2020-09-01,182.0955388387044,0.42885009460502105,182.96075439453125,181.25704956054688,2020-09
2020-10-01,181.50190964565482,0.2100724552996688,181.9991607666016,181.25457763671875,2020-10
2020-11-01,181.87026435004339,0.4176018795503474,182.78602600097656,181.28282165527344,2020-11
2020-12-01,184.33780990108366,1.4841782919450028,187.38528442382807,182.6548767089844,2020-12
2021-01-01,188.54366376323085,3.779792201186494,194.9687042236328,182.3608245849609,2021-01
2021-02-01,191.61011559622628,1.3776030918973188,194.22055053710935,187.63482666015625,2021-02
2021-03-01,194.25982616793723,1.5065825751677122,197.4999847412109,191.5537109375,2021-03
2021-04-01,194.53992818196613,3.4238463963618853,198.60130310058597,188.0483856201172,2021-04
2021-05-01,194.40706806798136,0.8566323927454312,196.55421447753903,192.63807678222656,2021-05
2021-06-01,195.51495056152345,0.5429301133437874,196.6181488037109,194.60397338867188,2021-06
2021-07-01,196.22518215384534,0.2961344786828043,196.63311767578125,195.6864776611328,2021-07
2021-08-01,196.57940247238324,0.1933375041972351,197.2351837158203,196.22808837890625,2021-08
2021-09-01,196.80663503011067,0.42016383618464664,198.57020568847656,196.3770904541016,2021-09
2021-10-01,197.6873075423702,0.8581526467621843,199.0217793782552,196.39976501464844,2021-10
2021-11-01,198.98601989746095,0.39937005120827973,199.68788146972656,198.34771728515625,2021-11
2021-12-01,199.41363426946825,0.41448956819313887,200.2915496826172,198.5612030029297,2021-12
2022-01-01,199.41642269011467,0.45810307984611787,199.90530395507807,198.57095336914065,2022-01
2022-02-01,199.41833332606726,0.480371863377904,200.2279510498047,197.90318298339844,2022-02
2022-03-01,249.2950449297505,35.51341470366108,292.6726989746094,198.4033966064453,2022-03
2022-04-01,319.1808597140842,17.7344054925714,351.9951477050781,290.5791320800781,2022-04
2022-05-01,355.0553172121766,4.775697725208018,366.5431823730469,345.9757080078125,2022-05
2022-06-01,356.4845784505208,2.266080052299647,359.1942443847656,345.8128967285156,2022-06
2022-07-01,356.4227560720136,2.1614125414620977,361.6355285644531,351.4632568359375,2022-07
2022-08-01,357.5475621377268,2.3917347970408134,361.7507934570313,353.2654724121094,2022-08
2022-09-01,357.6361948649089,3.2561862187346584,365.4657897949219,351.1859436035156,2022-09
2022-10-01,361.1803391979587,2.290799485696744,363.7010498046875,355.3642883300781,2022-10
2022-11-01,363.1147491455078,1.8990752215920539,365.4775390625,356.7203674316406,2022-11
2022-12-01,363.60014655000424,1.249240331579069,365.4393005371094,361.7275085449219,2022-12
2023-01-01,362.5307098716818,1.2091695935496263,364.5887145996094,360.5257873535156,2023-01
2023-02-01,361.9329376220703,1.3343291082274318,365.1622009277344,358.718017578125,2023-02
2023-03-01,329.5843761813256,10.905156854625647,358.6318359375,316.428955078125,2023-03
2023-04-01,319.34413757324216,3.5180274791388424,328.9999084472656,314.3559875488281,2023-04
2023-05-01,306.9511039487777,7.878249183405327,316.8464050292969,290.70770263671875,2023-05
2023-06-01,298.9554880777995,7.940011830714403,316.8031005859375,285.46148681640625,2023-06
2023-07-01,315.88536219443046,9.258258419291012,328.9679870605469,302.8333435058594,2023-07
2023-08-01,318.36951569587956,2.1540759001597802,321.5888671875,312.2506103515625,2023-08
2023-09-01,319.97684563530817,1.3442384309562656,322.6855163574219,316.98077392578125,2023-09
2023-10-01,321.51023487378194,1.3887661008709076,324.242919921875,319.358642578125,2023-10
2023-11-01,324.62327779134114,0.9238295548581679,326.13543701171875,323.055419921875,2023-11
2023-12-01,323.66468564925657,1.2812731399778083,325.57861328125,320.4774169921875,2023-12
2024-01-01,318.0119924237651,2.0639714841070935,321.6332397460937,313.8473815917969,2024-01
2024-02-01,309.35964439655174,1.3980610135910656,312.2268981933594,306.3331604003906,2024-02
2024-03-01,301.9105706983997,2.737165788079214,306.63250732421875,296.94959513346356,2024-03
2024-04-01,295.86188151041665,1.420443158363667,298.08349609375,293.4635314941406,2024-04
2024-05-01,296.158943422379,1.6471382621207566,299.3278503417969,293.37548828125,2024-05
2024-06-01,300.6589660644531,1.5407054839378915,302.7844543457031,297.4257507324219,2024-06
2024-07-01,300.5128360871346,0.9817701209340463,302.4581298828125,298.4480285644531,2024-07
2024-08-01,296.98198215935815,1.3555885554380827,299.9736022949219,294.3480529785156,2024-08
2024-09-01,297.960689968533,2.1909147079424907,301.7083435058594,295.000732421875,2024-09
2024-10-01,290.3054711126512,0.9604928842702716,293.0636291503906,288.7325744628906,2024-10
2024-11-01,288.74305318196616,1.1506445819561495,290.9404602050781,286.721923828125,2024-11
2024-12-01,288.3322173087828,1.7149663967024917,293.0872497558594,286.3573608398437,2024-12
2025-01-01,292.5383556735131,1.8810892507153294,295.3936767578125,288.9595642089844,2025-01
2025-02-01,293.73670959472656,1.8811039275052581,299.27557373046875,291.34637451171875,2025-02
2025-03-01,292.37422918504285,0.742973980849686,293.71197509765625,289.8553466796875,2025-03
2025-04-01,295.2844614664713,1.2438471719727242,297.6172180175781,292.6122436523437,2025-04
2025-05-01,296.23569808467744,0.5924020428004766,297.6395263671875,295.1552124023437,2025-05
2025-06-01,296.5420277913411,0.7219476990297095,297.9289245605469,295.08026123046875,2025-06
2025-07-01,298.0021805301789,0.7905409802066411,299.3626708984375,296.14813232421875,2025-07
2025-08-01,297.80955456149195,1.1962706905544147,299.2929382324219,293.6456604003906,2025-08
2025-09-01,299.0284495035807,0.46183038335493587,299.791748046875,298.0315246582031,2025-09
2025-10-01,300.06994924237654,0.7019663537409062,301.5093078613281,298.6519775390625,2025-10
2025-11-01,303.02288309733075,1.6449298913561259,305.25225830078125,300.5819091796875,2025-11
2025-12-01,306.07857095041584,0.691826830671827,307.1670837402344,304.2325744628906,2025-12
2026-01-01,306.5167438137916,0.5789679148247836,307.2781677246094,304.4595642089844,2026-01
2026-02-01,306.34987131754554,0.6813807309573968,308.7688293457031,305.46148681640625,2026-02
2026-03-01,308.66443035166753,1.8037946198462278,313.0682983398437,305.7828063964844,2026-03
2026-04-01,313.3376861572266,1.365970377074706,316.609130859375,311.7711486816406,2026-04
2026-05-01,324.0302202778478,7.355319407789392,342.3795166015625,316.609130859375,2026-05
2026-06-01,327.423681640625,3.8031738482839517,334.3604431152344,323.1044311523437,2026-06
2026-07-01,326.66145485325865,2.621226317976781,335.9800109863281,324.6778869628906,2026-07
